Age,JobLevel,MonthlyIncome,YearsAtCompany,StockOptionLevel,DistanceFromHome,OverTime,WorkLifeBalance,JobSatisfaction,Attrition
44,4,13544.0,3,3,1,No,3,4,No
44,4,13296.0,3,3,21,No,4,4,No
32,3,8894.0,3,2,4,Yes,2,2,Yes
29,1,3442.0,0,0,2,No,4,4,No
52,5,20906.0,10,3,21,No,3,4,No
31,3,8376.0,1,2,5,No,4,3,No
30,4,13278.0,2,3,9,No,4,4,No
35,4,14803.0,7,3,14,No,4,4,No
31,4,13806.0,4,2,3,No,4,2,No
28,2,5332.0,0,1,8,No,4,4,No
35,2,5817.0,3,0,8,No,4,2,Yes
31,1,3164.0,0,0,6,No,4,3,Yes
40,3,9042.0,6,2,14,No,4,1,Yes
29,2,5771.0,4,0,26,No,3,1,Yes
35,2,5747.0,2,0,18,No,3,2,Yes
40,5,19681.0,4,3,5,No,4,4,No
27,1,2614.0,0,0,23,Yes,2,1,Yes
29,1,3386.0,1,0,5,Yes,3,1,Yes
41,5,19473.0,6,3,16,No,3,2,No
41,4,14206.0,9,1,16,No,4,3,No
23,3,9185.0,1,3,19,No,4,3,No
24,1,3916.0,1,0,5,Yes,2,1,Yes
33,5,18618.0,1,3,15,No,4,4,No
24,2,5328.0,2,1,7,Yes,2,2,Yes
29,4,13546.0,6,2,19,No,3,1,Yes
43,3,9655.0,8,2,26,Yes,3,1,Yes
52,5,20129.0,13,3,14,No,3,4,No
39,5,19899.0,6,3,6,No,4,4,No
40,5,19657.0,8,3,16,No,4,4,No
26,2,5288.0,2,1,6,No,3,1,Yes
37,5,20009.0,8,3,3,Yes,2,4,No
45,5,20988.0,13,3,18,No,3,4,No
51,3,8200.0,3,0,13,Yes,3,1,Yes
42,2,5877.0,4,0,26,No,4,4,Yes
36,3,8967.0,5,0,4,No,3,1,Yes
27,2,5057.0,0,2,13,No,4,1,Yes
30,5,19913.0,8,3,3,No,3,3,No
38,1,3461.0,2,0,5,No,3,1,Yes
44,5,21092.0,18,3,20,No,3,4,No
29,3,8871.0,2,1,16,Yes,3,2,Yes
29,1,2968.0,1,0,7,No,3,1,Yes
32,4,13742.0,6,3,15,No,4,4,No
34,2,6221.0,4,2,11,No,4,1,Yes
31,3,8597.0,3,2,12,No,3,1,Yes
38,2,5837.0,3,1,19,Yes,3,3,Yes
33,5,19589.0,6,3,3,No,4,3,No
31,3,9034.0,3,3,26,No,3,2,No
48,2,4760.0,1,3,4,No,4,3,No
24,2,6046.0,2,2,27,Yes,2,1,Yes
56,4,14320.0,14,2,13,No,3,4,No
42,2,6391.0,4,1,18,No,4,2,Yes
32,2,5690.0,1,1,7,Yes,2,2,Yes
26,3,8798.0,0,2,14,Yes,2,3,Yes
34,5,19635.0,6,3,6,No,3,2,No
37,3,9099.0,9,2,3,No,3,2,No
28,1,3370.0,1,0,25,No,4,4,Yes
52,5,20007.0,6,3,12,No,3,4,No
46,5,20264.0,12,3,4,No,4,3,No
47,5,19567.0,10,3,9,No,4,4,No
42,1,2560.0,0,0,17,Yes,3,1,Yes
36,5,20929.0,13,3,9,No,3,4,No
53,3,9330.0,4,1,23,No,4,4,No
39,2,6062.0,1,1,4,No,4,1,Yes
29,3,8693.0,3,2,9,No,4,4,No
27,2,5972.0,3,1,20,No,3,1,Yes
54,4,13853.0,7,3,6,No,4,3,No
30,4,13027.0,1,3,7,No,3,3,No
27,1,3617.0,2,0,5,No,4,2,Yes
42,3,8749.0,0,1,6,No,3,1,Yes
43,5,18817.0,2,3,19,No,4,4,No
22,1,3050.0,1,0,14,Yes,2,1,Yes
39,1,3160.0,1,0,6,No,4,1,Yes
25,2,5680.0,3,1,8,No,4,3,No
21,1,2754.0,1,0,8,No,3,1,Yes
43,3,9210.0,2,0,5,No,3,1,Yes
34,2,5758.0,2,0,7,No,4,2,Yes
40,2,5705.0,2,1,6,No,3,3,Yes
32,3,9306.0,6,2,7,No,3,3,No
37,5,19673.0,5,3,8,No,4,4,No
22,1,2961.0,1,0,5,No,4,2,Yes
35,3,8502.0,1,2,20,No,3,2,Yes
29,2,5051.0,0,1,11,No,4,2,No
44,2,5620.0,2,1,15,Yes,2,1,Yes
